HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Previous Names	Synonyms	Chromosome	Accession Numbers	RefSeq IDs
HGNC:17728	PMFBP1	polyamine modulated factor 1 binding protein 1	Approved				16q23.1	AF239683	NM_031293
HGNC:9113	PML	promyelocytic leukemia	Approved			MYL, TRIM19, RNF71	15q24.1	AB208950	NM_002675
HGNC:9114	PMM1	phosphomannomutase 1	Approved			Sec53	22q13		NM_002676
HGNC:9115	PMM2	phosphomannomutase 2	Approved	CDG1		CDGS, CDG1a, PMI, PMI1	16p13	BC008310	NM_000303
HGNC:9117	PMP2	peripheral myelin protein 2	Approved			MP2, FABP8, M-FABP	8q21.3-q22.1	X62167	NM_002677
HGNC:9118	PMP22	peripheral myelin protein 22	Approved			HNPP, GAS-3, Sp110	17p12	D11428	NM_000304
HGNC:18667	PMPCA	peptidase (mitochondrial processing) alpha	Approved	INPP5E	"inositol polyphosphate-5-phosphatase, 72 kD"	KIAA0123, Alpha-MPP	9q34.3	D21064	NM_015160
HGNC:9119	PMPCB	peptidase (mitochondrial processing) beta	Approved			MPPB, MPPP52	7q22.1	AF054182	NM_004279
HGNC:9121	PMS1	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)	Approved	PMSL1	"postmeiotic segregation increased (S. cerevisiae) 1"		2q31-q33		
HGNC:9122	PMS2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	Approved	PMSL2	"postmeiotic segregation increased (S. cerevisiae) 2"	H_DJ0042M02.9, HNPCC4	7p22.1		NM_000535
HGNC:9141	PMVK	phosphomevalonate kinase	Approved			PMK, PMKA, HUMPMKI	1q21.3	L77213	NM_006556
HGNC:13415	PNCK	pregnancy up-regulated nonubiquitous CaM kinase	Approved		"pregnancy upregulated non-ubiquitously expressed CaM kinase", "pregnancy up-regulated non-ubiquitously expressed CaM kinase"	MGC45419, CaMK1b	Xq28	BC033746	NM_198452
HGNC:21222	PNISR	PNN-interacting serine/arginine-rich protein	Approved	C6orf111, SFRS18	"chromosome 6 open reading frame 111", "splicing factor, arginine/serine-rich 18"	FLJ14752, bA98I9.2, DKFZp564B0769, SRrp130	6q16.3	AK027759	NM_032870
HGNC:9153	PNKD	paroxysmal nonkinesigenic dyskinesia	Approved		"paroxysmal nonkinesiogenic dyskinesia"	DYT8, PDC, DKFZp564N1362, FPD1, MR-1, BRP17, FKSG19, TAHCCP2, KIAA1184, KIPP1184, MGC31943, PKND1	2q35		
HGNC:9154	PNKP	polynucleotide kinase 3'-phosphatase	Approved			PNK	19q13.3-q13.4	AF126486	NM_007254
HGNC:21185	PNLDC1	poly(A)-specific ribonuclease (PARN)-like domain containing 1	Approved			FLJ40240, dJ195P10.2	6q25.3	AK097559	NM_173516
HGNC:9155	PNLIP	pancreatic lipase	Approved			PL	10q25.3	BC014309	NM_000936
HGNC:9156	PNLIPRP1	pancreatic lipase-related protein 1	Approved			PLRP1	10q26.12	BC025784	NM_006229
HGNC:9157	PNLIPRP2	pancreatic lipase-related protein 2	Approved			PLRP2	10q26.12	M93284	NM_005396
HGNC:23492	PNLIPRP3	pancreatic lipase-related protein 3	Approved				10q26.12	BC015840	XM_058404
HGNC:9158	PNMA1	paraneoplastic Ma antigen 1	Approved		"paraneoplastic antigen MA1"	MA1	14q24.3	AF037364	NM_006029
HGNC:9159	PNMA2	paraneoplastic Ma antigen 2	Approved		"paraneoplastic antigen MA2"	MA2, RGAG2	8p21.1		NM_007257
HGNC:18742	PNMA3	paraneoplastic Ma antigen 3	Approved		"paraneoplastic antigen MA3"	MA5, MA3, MGC132756, MGC132758	Xq28	AF083116	NM_013364
HGNC:18743	PNMA5	paraneoplastic Ma antigen family member 5	Approved		"paraneoplastic antigen like 5"	KIAA1934	Xq28	AB067521	NM_052926
HGNC:28248	PNMA6A	paraneoplastic Ma antigen family member 6A	Approved	PNMA6C	"paraneoplastic antigen like 6A", "paraneoplastic Ma antigen family member 6C", "paraneoplastic antigen like 6C"	MGC15827	Xq28	AK055322	NM_032882
HGNC:25578	PNMAL1	paraneoplastic Ma antigen family-like 1	Approved		"PNMA-like 1"	KIAA1183L, FLJ10781	19q13.32	BC026026	NM_018215
HGNC:29206	PNMAL2	paraneoplastic Ma antigen family-like 2	Approved		"PNMA-like 2"	KIAA1183	19q13.32	AB033009	NM_020709
HGNC:9160	PNMT	phenylethanolamine N-methyltransferase	Approved	PENT			17q		NM_002686
HGNC:9162	PNN	pinin, desmosome associated protein	Approved			memA	14q21.1	U77718	NM_002687
HGNC:32790	PNO1	partner of NOB1 homolog (S. cerevisiae)	Approved	KHRBP1	"KH-type RNA binding protein 1", "KH-type RNA-binding protein 1"	RRP20	2p14	AF164799	NM_020143
HGNC:9163	PNOC	prepronociceptin	Approved			PPNOC	8p21		NM_006228
HGNC:7892	PNP	purine nucleoside phosphorylase	Approved	NP	"nucleoside phosphorylase"	PUNP	14q11.2		NM_000270.2
HGNC:21246	PNPLA1	patatin-like phospholipase domain containing 1	Approved			FLJ38755, dJ50J22.1	6p21.31		NM_173676
HGNC:30802	PNPLA2	patatin-like phospholipase domain containing 2	Approved			desnutrin, TTS-2.2, ATGL, FP17548, iPLA2zeta	11p15.5	AJ278475	NM_020376
HGNC:18590	PNPLA3	patatin-like phospholipase domain containing 3	Approved	C22orf20, ADPN	"chromosome 22 open reading frame 20", "adiponutrin"	dJ796I17.1, FLJ22012, adiponutrin, iPLA2epsilon	22q13.31		NM_025225
HGNC:24887	PNPLA4	patatin-like phospholipase domain containing 4	Approved			DXS1283E, GS2, iPLA2eta	Xp22.3	U03886	NM_004650
HGNC:24888	PNPLA5	patatin-like phospholipase domain containing 5	Approved			dJ388M5.4, GS2L	22q13.31	Z97055	NM_138814
HGNC:16268	PNPLA6	patatin-like phospholipase domain containing 6	Approved			NTE, sws, iPLA2delta, SPG39	19p13.2	AJ004832	NM_006702
HGNC:24768	PNPLA7	patatin-like phospholipase domain containing 7	Approved	C9orf111	"chromosome 9 open reading frame 111"	FLJ43070, FLJ31318, FLJ44279, RP11-48C7.2, NTEL1, NTE-R1	9q34.3	AK126267	NM_152286
HGNC:28900	PNPLA8	patatin-like phospholipase domain containing 8	Approved			IPLA2G, IPLA2-2, iPLA2gamma	7q31	AF217519	NM_015723
HGNC:30260	PNPO	pyridoxamine 5'-phosphate oxidase	Approved		"pyridoxine 5'-phosphate oxidase"	PDXPO	17q21.32	AF468030	NM_018129
HGNC:23166	PNPT1	polyribonucleotide nucleotidyltransferase 1	Approved	DFNB70	"deafness, autosomal recessive 70"	PNPase, OLD35, old-35	2p15	BC053660	NM_033109
HGNC:17278	PNRC1	proline-rich nuclear receptor coactivator 1	Approved	PROL2	"proline rich 2"	B4-2, PRR2	6q16.1	U03105	NM_006813
HGNC:23158	PNRC2	proline-rich nuclear receptor coactivator 2	Approved				1p36.11	AF151042	NM_017761
HGNC:24488	POC1A	POC1 centriolar protein A	Approved	WDR51A	"WD repeat domain 51A", "POC1 centriolar protein homolog A (Chlamydomonas)"	DKFZP434C245	3p21.2	AL117629	NM_015426
HGNC:30836	POC1B	POC1 centriolar protein B	Approved	WDR51B	"WD repeat domain 51B", "POC1 centriolar protein homolog B (Chlamydomonas)"	TUWD12, FLJ14923	12q21.33	AL832918	NM_172240
HGNC:26658	POC5	POC5 centriolar protein	Approved	C5orf37	"chromosome 5 open reading frame 37", "POC5 centriolar protein homolog (Chlamydomonas)"	FLJ35779, MGC120442, MGC120443, MGC120444, hPOC5	5q13.3	AK093098	NM_152408
HGNC:23174	PODN	podocan	Approved			PCAN, PODOCAN, MGC24995, SLRR5A	1p32.3	AY313607	NM_153703
HGNC:26275	PODNL1	podocan-like 1	Approved			FLJ23447, SLRR5B	19p13.12	AK027100	NM_024825
HGNC:9171	PODXL	podocalyxin-like	Approved			PCLP, Gp200, PC	7q32-q33		NM_001018111
HGNC:17936	PODXL2	podocalyxin-like 2	Approved			PODLX2, endoglycan	3q21.3	AF219137	NM_015720
HGNC:13711	POF1B	premature ovarian failure, 1B	Approved			POF, FLJ22792	Xq21.2	BC017500	NM_024921
HGNC:14988	POFUT1	protein O-fucosyltransferase 1	Approved			O-FUT, O-Fuc-T, KIAA0180, FUT12	20q11	AF375884	NM_015352
HGNC:14683	POFUT2	protein O-fucosyltransferase 2	Approved	C21orf80	"chromosome 21 open reading frame 80"	KIAA0958, FUT13	21q22.3	AJ203079	NM_015227
HGNC:18800	POGK	pogo transposable element with KRAB domain	Approved			KIAA15131, LST003, BASS2, KRBOX2	1q23.2	AB040946	NM_017542
HGNC:22954	POGLUT1	protein O-glucosyltransferase 1	Approved	C3orf9, KTELC1	"chromosome 3 open reading frame 9", "KTEL (Lys-Tyr-Glu-Leu) containing 1"	MDS010, MGC32995, 9630046K23Rik, MDSRP, hCLP46, KDELCL1, Rumi	3q13.33	BC030614	NM_152305
HGNC:18801	POGZ	pogo transposable element with ZNF domain	Approved			KIAA0461, ZNF635m, ZNF280E	1q21.1	AB007930	NM_207171
HGNC:9173	POLA1	polymerase (DNA directed), alpha 1, catalytic subunit	Approved	POLA, NSX	"polymerase (DNA directed), alpha", "polymerase (DNA directed), alpha 1", "N syndrome (mental retardation, malformations, chromosome breakage)"	p180	Xp22.1-p21.3		NM_016937
HGNC:30073	POLA2	polymerase (DNA directed), alpha 2, accessory subunit	Approved		"polymerase (DNA directed), alpha 2 (70kD subunit)"	FLJ21662	11q13	BC002990	NM_002689
HGNC:9174	POLB	polymerase (DNA directed), beta	Approved				8p12-p11		NM_002690
HGNC:9175	POLD1	polymerase (DNA directed), delta 1, catalytic subunit	Approved	POLD	"polymerase (DNA directed), delta 1, catalytic subunit (125kD)"	CDC2	19q13.3		
HGNC:9176	POLD2	polymerase (DNA directed), delta 2, accessory subunit	Approved		"polymerase (DNA directed), delta 2, regulatory subunit (50kD)", "polymerase (DNA directed), delta 2, regulatory subunit 50kDa"		7p13		NM_001127218
HGNC:20932	POLD3	polymerase (DNA-directed), delta 3, accessory subunit	Approved			P66, KIAA0039, P68, PPP1R128	11q14	D26018	NM_006591
HGNC:14106	POLD4	polymerase (DNA-directed), delta 4, accessory subunit	Approved		"polymerase (DNA-directed), delta 4"	p12, POLDS	11q13	AF179890	NM_021173
HGNC:23781	POLDIP2	polymerase (DNA-directed), delta interacting protein 2	Approved			PDIP38, DKFZP586F1524	17q11.2	AF077203	NM_015584
HGNC:23782	POLDIP3	polymerase (DNA-directed), delta interacting protein 3	Approved			PDIP46, KIAA1649	22q13.31		NM_032311
HGNC:9177	POLE	polymerase (DNA directed), epsilon, catalytic subunit	Approved		"polymerase (DNA directed), epsilon"	POLE1	12q24.3		NM_006231
HGNC:9178	POLE2	polymerase (DNA directed), epsilon 2, accessory subunit	Approved		"polymerase (DNA directed), epsilon 2 (p59 subunit)"	DPE2	14q21-q22	AF025840	NM_002692
HGNC:13546	POLE3	polymerase (DNA directed), epsilon 3, accessory subunit	Approved		"polymerase (DNA directed), epsilon 3 (p17 subunit)"	CHRAC17, Ybl1, p17, CHARAC17	9q33	AF261689	NM_017443
HGNC:18755	POLE4	polymerase (DNA-directed), epsilon 4, accessory subunit	Approved		"polymerase (DNA-directed), epsilon 4 (p12 subunit)"	p12	2p12	AF261688	NM_019896
HGNC:9179	POLG	polymerase (DNA directed), gamma	Approved			POLG1, POLGA	15q24	X98093	NM_002693
HGNC:9180	POLG2	polymerase (DNA directed), gamma 2, accessory subunit	Approved			MTPOLB, HP55	17q23.3	U94703	NM_007215
HGNC:9181	POLH	polymerase (DNA directed), eta	Approved			RAD30A, XP-V	6p21	AB024313	NM_006502
HGNC:9182	POLI	polymerase (DNA directed) iota	Approved	RAD3OB, RAD30B			18q21.1		NM_007195
HGNC:9183	POLK	polymerase (DNA directed) kappa	Approved	DINB1		POLQ, DINP	5q13	AB027564	NM_016218
HGNC:9184	POLL	polymerase (DNA directed), lambda	Approved				10q23	AF161019	NM_013274
HGNC:9185	POLM	polymerase (DNA directed), mu	Approved			Tdt-N	7p13	AF176097	NM_013284
HGNC:18870	POLN	polymerase (DNA directed) nu	Approved				4p16.3	AF044578	NM_181808
HGNC:9186	POLQ	polymerase (DNA directed), theta	Approved			POLH	3q13.3	AF052573	NM_199420
HGNC:17264	POLR1A	polymerase (RNA) I polypeptide A, 194kDa	Approved			DKFZP586M0122, FLJ21915, RPO1-4, RPA1	2p11.2	AK025568	NM_015425
HGNC:20454	POLR1B	polymerase (RNA) I polypeptide B, 128kDa	Approved			Rpo1-2, FLJ21921, FLJ10816, RPA2	2q13	AK001678	NM_019014
HGNC:20194	POLR1C	polymerase (RNA) I polypeptide C, 30kDa	Approved			RPA40, RPA39, RPA5, RPAC1	6p21.1	AF008442	NM_004875
HGNC:20422	POLR1D	polymerase (RNA) I polypeptide D, 16kDa	Approved			RPAC2, RPA16, RPO1-3, RPA9, MGC9850	13q12.2	AF077044, BC018528	NM_015972, NM_152705
HGNC:17631	POLR1E	polymerase (RNA) I polypeptide E, 53kDa	Approved	PRAF1	"polymerase (RNA) I associated factor 1"	FLJ13390, PAF53, FLJ13970	9p13.1	AK091294	NM_022490
HGNC:9187	POLR2A	polymerase (RNA) II (DNA directed) polypeptide A, 220kDa	Approved	POLR2	"polymerase (RNA) II (DNA directed) polypeptide A (220kD)"	POLRA, RPB1	17p13.1		NM_000937
HGNC:9188	POLR2B	polymerase (RNA) II (DNA directed) polypeptide B, 140kDa	Approved		"polymerase (RNA) II (DNA directed) polypeptide B (140kD)"	RPB2	4q12		NM_000938
HGNC:9189	POLR2C	polymerase (RNA) II (DNA directed) polypeptide C, 33kDa	Approved		"polymerase (RNA) II (DNA directed) polypeptide C (33kD)"	RPB3	16q13-q21		NM_032940
HGNC:9191	POLR2D	polymerase (RNA) II (DNA directed) polypeptide D	Approved			RBP4	2q21	U85510	NM_004805
HGNC:9192	POLR2E	polymerase (RNA) II (DNA directed) polypeptide E, 25kDa	Approved		"polymerase (RNA) II (DNA directed) polypeptide E (25kD)"	RPB5, RPABC1, XAP4, hRPB25, hsRPB5	19p13.3		NM_002695
HGNC:9193	POLR2F	polymerase (RNA) II (DNA directed) polypeptide F	Approved			RPB6, HRBP14.4	22q13.1		NM_021974
HGNC:9194	POLR2G	polymerase (RNA) II (DNA directed) polypeptide G	Approved			hRPB19, hsRPB7, RPB7	11q13.1	U20659	NM_002696
HGNC:9195	POLR2H	polymerase (RNA) II (DNA directed) polypeptide H	Approved			RPB8	3q28		NM_006232
HGNC:9196	POLR2I	polymerase (RNA) II (DNA directed) polypeptide I, 14.5kDa	Approved		"polymerase (RNA) II (DNA directed) polypeptide I (14.5kD)"	RPB9, hRPB14.5	19q13.12		NM_006233
HGNC:9197	POLR2J	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa	Approved		"polymerase (RNA) II (DNA directed) polypeptide J (13.3kD)"	RPB11, hRPB14, RPB11A, RPB11m, POLR2J1	7q11.2	X98433	NM_006234
HGNC:23208	POLR2J2	polymerase (RNA) II (DNA directed) polypeptide J2	Approved			RPB11b1	7q22.1		
HGNC:33853	POLR2J3	polymerase (RNA) II (DNA directed) polypeptide J3	Approved				7q22.1		NM_001097615
HGNC:9198	POLR2K	polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa	Approved		"polymerase (RNA) II (DNA directed) polypeptide K (7.0kD)"	RPB10alpha	8q22		NM_005034
HGNC:9199	POLR2L	polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa	Approved		"polymerase (RNA) II (DNA directed) polypeptide L (7.6kD)"	RPB10beta, RBP10, RPABC5, RPB7.6, hRPB7.6, hsRPB10b	11p15	U37690	NM_021128
HGNC:14862	POLR2M	polymerase (RNA) II (DNA directed) polypeptide M	Approved	GRINL1A	"glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A"	Gdown, Gdown1, GCOM1	15q21.3	AF326773	
HGNC:30074	POLR3A	polymerase (RNA) III (DNA directed) polypeptide A, 155kDa	Approved			RPC1, RPC155, hRPC155	10q22-q23	AF021351	NM_007055
HGNC:30348	POLR3B	polymerase (RNA) III (DNA directed) polypeptide B	Approved			RPC2, FLJ10388	12q23.3	AY092084	NM_018082
HGNC:30076	POLR3C	polymerase (RNA) III (DNA directed) polypeptide C (62kD)	Approved			RPC62, RPC3	1q21	AJ238234	NM_006468
HGNC:1080	POLR3D	polymerase (RNA) III (DNA directed) polypeptide D, 44kDa	Approved	BN51T	"BN51 (BHK21) temperature sensitivity complementing"	TSBN51, RPC4	8q21	M17754	NM_001722
HGNC:30347	POLR3E	polymerase (RNA) III (DNA directed) polypeptide E (80kD)	Approved			RPC5, SIN, FLJ10509	16p12	AY092085	NM_018119
HGNC:15763	POLR3F	polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa	Approved		"polymerase (RNA) III (DNA directed) polypeptide F (39 kDa)"	RPC39, RPC6	20p11.23	U93869	NM_006466
HGNC:30075	POLR3G	polymerase (RNA) III (DNA directed) polypeptide G (32kD)	Approved			RPC32, RPC7	5q14.3	U93868	NM_006467
HGNC:28466	POLR3GL	polymerase (RNA) III (DNA directed) polypeptide G (32kD)-like	Approved		"polymerase (RNA) III (DNA directed) polypeptide G (32kD) like"	flj32422, MGC3200	1q21.1	BC004355	NM_032305
HGNC:30349	POLR3H	polymerase (RNA) III (DNA directed) polypeptide H (22.9kD)	Approved			RPC8, KIAA1665	22q13	AB051452	NM_138338
HGNC:14121	POLR3K	polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa	Approved		"polymerase (RNA) III (DNA directed) polypeptide K (12.3 kDa)"	RPC11	16p13.3	AF051316	NM_016310
HGNC:9200	POLRMT	polymerase (RNA) mitochondrial (DNA directed)	Approved			h-mtRPOL, APOLMT, MTRNAP, MTRPOL	19p13.3		NM_005035
HGNC:19702	POM121	POM121 transmembrane nucleoporin	Approved		"POM121 membrane glycoprotein (rat)", "POM121 membrane glycoprotein"	KIAA0618, DKFZP586G1822, DKFZP586P2220, POM121A	7q11.23	AB014518	
HGNC:34005	POM121C	POM121 transmembrane nucleoporin C	Approved		"POM121 membrane glycoprotein C"		7q11.23		NM_001099415
HGNC:13973	POM121L2	POM121 transmembrane nucleoporin-like 2	Approved		"POM121 membrane glycoprotein-like 2 (rat)", "POM121 membrane glycoprotein-like 2"	POM121-L	6p21.3	AL021808	NM_033482
HGNC:25369	POM121L12	POM121 transmembrane nucleoporin-like 12	Approved		"POM121 membrane glycoprotein-like 12"	DKFZp564N2472	7p12.1		NM_182595
HGNC:9201	POMC	proopiomelanocortin	Approved			MSH, POC, CLIP, ACTH, NPP, LPH	2p23		NM_001035256
HGNC:19139	POMGNT1	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)	Approved	MEB	"muscle-eye-brain disease", "protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase"	FLJ20277, MGAT1.2, LGMD2O	1p34.1		NM_017739
HGNC:25902	POMGNT2	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)	Approved	C3orf39, GTDC2	"chromosome 3 open reading frame 39", "glycosyltransferase-like domain containing 2"	FLJ14566, AGO61	3p22.1	AK092147	NM_032806
HGNC:26267	POMK	protein-O-mannose kinase	Approved			FLJ23356, SgK196	8p11.21		NM_032237
HGNC:20330	POMP	proteasome maturation protein	Approved	C13orf12	"chromosome 13 open reading frame 12"	HSPC014, UMP1	13q12.13	AF077200	NM_015932
HGNC:9202	POMT1	protein-O-mannosyltransferase 1	Approved			LGMD2K	9q34.1	AF095136	NM_007171
HGNC:19743	POMT2	protein-O-mannosyltransferase 2	Approved			LGMD2N	14q24	AF105020	NM_013382
HGNC:9203	POMZP3	POM121 and ZP3 fusion	Approved		"POM (POM121 rat homolog) and ZP3 fusion", "POM (POM121 homolog, rat) and ZP3 fusion"	POM-ZP3, POM121	7q11.2	U10099	NM_012230
HGNC:9204	PON1	paraoxonase 1	Approved	PON		ESA	7q21.3	AF539592	NM_000446
HGNC:9205	PON2	paraoxonase 2	Approved				7q21.3	M63012, AF001601	NM_000305
HGNC:9206	PON3	paraoxonase 3	Approved				7q21.3	L48516, AF320003	NM_000940
HGNC:30129	POP1	processing of precursor 1, ribonuclease P/MRP subunit (S. cerevisiae)	Approved				8q22.2	D31765	NM_015029
HGNC:30081	POP4	processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae)	Approved			RPP29	19q13.11	BC006098	NM_006627
HGNC:17689	POP5	processing of precursor 5, ribonuclease P/MRP subunit (S. cerevisiae)	Approved				12q24.31	AJ306296	NM_015918
HGNC:19949	POP7	processing of precursor 7, ribonuclease P/MRP subunit (S. cerevisiae)	Approved		"processing of precursor 7, ribonuclease P subunit (S. cerevisiae)"	RPP20, RPP2	7q22	U94316	NM_005837
HGNC:17648	POPDC2	popeye domain containing 2	Approved			POP2	3q13.33	AF204173	NM_022135
HGNC:17649	POPDC3	popeye domain containing 3	Approved			POP3, MGC22671, bA355M14.1	6q21	BC022323	NM_022361
HGNC:9208	POR	P450 (cytochrome) oxidoreductase	Approved			CYPOR, FLJ26468	7q11.2	AF258341	NM_000941
HGNC:17652	PORCN	porcupine homolog (Drosophila)	Approved	DHOF	"dermal hypoplasia, focal"	MG61, PORC, PPN, por	Xp11.23	AF317058	NM_022825
HGNC:16953	POSTN	periostin, osteoblast specific factor	Approved			OSF-2, PN, periostin	13q13.3	D13665	NM_006475
HGNC:17284	POT1	protection of telomeres 1	Approved		"protection of telomeres 1 homolog (S. pombe)"	hPot1, DKFZp586D211	7q31.33	AK022580	
HGNC:33893	POTEA	POTE ankyrin domain family, member A	Approved	A26A1	"ANKRD26-like family A, member 1"	POTE8, POTE-8, CT104.3	8p11.1	AY462869	NM_001002920
HGNC:33734	POTEB	POTE ankyrin domain family, member B	Approved	A26B1	"ANKRD26-like family B, member 1"	POTE15, POTE-15, CT104.5	15q11.2	AY465170	NM_207355
HGNC:48327	POTEB2	POTE ankyrin domain family, member B2	Approved				15q11.2		
HGNC:51240	POTEB3	POTE ankyrin domain family, member B3	Approved				15q11.2		
HGNC:33894	POTEC	POTE ankyrin domain family, member C	Approved	A26B2	"ANKRD26-like family B, member 2"	POTE18, POTE-18, DKFZp686J0529, CT104.6	18p11.21	BX649118	XM_496269
HGNC:23822	POTED	POTE ankyrin domain family, member D	Approved	ANKRD21, A26B3	"ankyrin repeat domain 21", "ANKRD26-like family B, member 3"	POTE, POTE-21, POTE21, CT104.1	21q11.2	AY172978	NM_174981
HGNC:33895	POTEE	POTE ankyrin domain family, member E	Approved	A26C1A	"ANKRD26-like family C, member 1A"	POTE2, POTE-2, A26C1, POTE2gamma, CT104.2	2q21.1	AY462868	NM_001083538
HGNC:33905	POTEF	POTE ankyrin domain family, member F	Approved	A26C1B	"ANKRD26-like family C, member 1B"	POTEACTIN, POTE2alpha	2q21.1	EF523384	NM_001099771
HGNC:33896	POTEG	POTE ankyrin domain family, member G	Approved	A26C2	"ANKRD26-like family C, member 2"	POTE14, POTE-14, POTE14alpha, CT104.4	14q11.2		NM_001005356
HGNC:133	POTEH	POTE ankyrin domain family, member H	Approved	ACTBL1, A26C3	"actin, beta-like 1", "ANKRD26-like family C, member 3"	POTE22, CT104.7	22q11.1	AY462874	NM_001136213
HGNC:37093	POTEI	POTE ankyrin domain family, member I	Approved			POTE2beta	2q21.1		XM_928585
HGNC:37094	POTEJ	POTE ankyrin domain family, member J	Approved			POTE2beta	2q21.1		XM_929706
HGNC:37096	POTEM	POTE ankyrin domain family, member M	Approved			POTE14beta, P704P, ACT	14q11.2		NM_001145442
HGNC:9210	POU1F1	POU class 1 homeobox 1	Approved	PIT1	"POU domain class 1, transcription factor 1"	GHF-1, POU1F1a	3p11.2	D10216	NM_000306
HGNC:9211	POU2AF1	POU class 2 associating factor 1	Approved		"POU domain class 2, associating factor 1"	OBF1	11q23.1		NM_006235
HGNC:9212	POU2F1	POU class 2 homeobox 1	Approved	OTF1	"POU domain class 2, transcription factor 1"	OCT1	1q24.2	BC001664	NM_002697
HGNC:9213	POU2F2	POU class 2 homeobox 2	Approved	OTF2	"POU domain class 2, transcription factor 2"	OCT2	19q13.2		
HGNC:19864	POU2F3	POU class 2 homeobox 3	Approved		"POU domain class 2, transcription factor 3"	OCT11, PLA-1, Skn-1a, Epoc-1	11q23.3	AF133895	
HGNC:9214	POU3F1	POU class 3 homeobox 1	Approved	OTF6	"POU domain class 3, transcription factor 1"	OCT6, SCIP	1p34.3	L26494	NM_002699
HGNC:9215	POU3F2	POU class 3 homeobox 2	Approved	OTF7	"POU domain class 3, transcription factor 2"	POUF3, BRN2, OCT7	6q16.2	Z11933	
HGNC:9216	POU3F3	POU class 3 homeobox 3	Approved		"POU domain class 3, transcription factor 3"	BRN1, OTF8	2q12.1		
HGNC:9217	POU3F4	POU class 3 homeobox 4	Approved	DFN3	"POU domain class 3, transcription factor 4"	BRN4, OTF9, DFNX2	Xq21.1	X82324	NM_000307
HGNC:9218	POU4F1	POU class 4 homeobox 1	Approved	BRN3A	"POU domain class 4, transcription factor 1"	RDC-1	13q31.1	X64624	
HGNC:9219	POU4F2	POU class 4 homeobox 2	Approved	BRN3B	"POU domain, class 4, transcription factor 2", "POU domain class 4, transcription factor 2"	Brn-3b	4q31.22	U06233	NM_004575
HGNC:9220	POU4F3	POU class 4 homeobox 3	Approved	DFNA15	"POU domain class 4, transcription factor 3"	BRN3C	5q32	U10060	NM_002700
HGNC:9221	POU5F1	POU class 5 homeobox 1	Approved	OTF3	"POU domain class 5, transcription factor 1"	OCT3, Oct4, MGC22487	6p21.33	Z11898	NM_002701
HGNC:9223	POU5F1B	POU class 5 homeobox 1B	Approved	OTF3P1, POU5F1P1	"POU domain class 5, transcription factor 1 pseudogene 1", "POU class 5 homeobox 1 pseudogene 1"	OTF3C	8q24.21	AF268615	NM_001159542
HGNC:26367	POU5F2	POU domain class 5, transcription factor 2	Approved			SPRM-1, FLJ25680	5q15		NM_153216
HGNC:9224	POU6F1	POU class 6 homeobox 1	Approved		"POU domain, class 6, transcription factor 1"	BRN5, MPOU, TCFB1	12q13.13	AL832881	NM_002702
HGNC:21694	POU6F2	POU class 6 homeobox 2	Approved		"POU domain, class 6, transcription factor 2"	RPF-1	7p14.1	U91934	NM_007252
HGNC:28406	PP2D1	protein phosphatase 2C-like domain containing 1	Approved	C3orf48	"chromosome 3 open reading frame 48"	FLJ25449	3p24.3	AK058178	NM_144714
HGNC:9226	PPA1	pyrophosphatase (inorganic) 1	Approved	PP	"pyrophosphatase (inorganic)"	SID6-8061, Ppase, IOPPP, PP1	10q11.1-q24	AF154065	NM_021129
HGNC:28883	PPA2	pyrophosphatase (inorganic) 2	Approved			FLJ20459	4q25		NM_176869
HGNC:9227	PPAN	peter pan homolog (Drosophila)	Approved		"peter pan (Drosophila) homolog"	SSF1, SSF2, SSF, BXDC3	19p13.2	BC033202	NM_020230
HGNC:9228	PPAP2A	phosphatidic acid phosphatase type 2A	Approved			PAP-2a, LPP1	5q11	AB000888	
HGNC:9229	PPAP2B	phosphatidic acid phosphatase type 2B	Approved			PAP-2b, LPP3	1p32.2	AB000889	NM_003713
HGNC:9230	PPAP2C	phosphatidic acid phosphatase type 2C	Approved			PAP-2c, LPP2	19p13	AF035959	
HGNC:23531	PPAPDC1A	phosphatidic acid phosphatase type 2 domain containing 1A	Approved	PPAPDC1	"phosphatidic acid phosphatase type 2 domain containing 1"		10q26.13	AK098668	XM_113641
HGNC:25026	PPAPDC1B	phosphatidic acid phosphatase type 2 domain containing 1B	Approved			HTPAP	8p12	AF212238	NM_032483
HGNC:23682	PPAPDC2	phosphatidic acid phosphatase type 2 domain containing 2	Approved			FLJ90191, FLJ46512, PDP1	9p24	AK128369	NM_203453
